web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,image-src,link,link-href
"1612455577-7115","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming HP Omen 15-dh1004nq, Procesor Intel® Core™ i7-10750H, 16GB DDR4,","5.999,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143357-1.jpg","","https://www.flanco.ro/laptop-gaming-hp-omen-15-dh1004nq-intel-core-i7-10750h-16gb-ddr4-hdd-1tb-ssd-256gb-nvidia-geforce-rtx-2060-6gb-free-dos.html"
"1612455577-7120","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5411, Intel® Core™ i5-10400H, 16GB DDR4, SSD 512GB, NVIDIA","6.299,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143887-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5411-intel-core-i5-10400h-16gb-ddr4-ssd-512gb-nvidia-geforce-mx250-2gb-windows-10-pro.html"
"1612455593-7153","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 7410, Intel® Core™ i5-10310U, 8GB DDR4, SSD 256GB, Intel&#","6.805,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145025-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-7410-intel-core-i5-10310u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1612455561-7097","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Strix G17 G712LU-H7023, Intel® Core™ i7-10750H, 16GB DDR","6.251,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145022-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-strix-g17-g712lu-h7023-intel-core-i7-10750h-16gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1660ti-6gb-free-dos.html"
"1612455593-7155","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad T590, Intel® Core™ i7-8565U, 16GB DDR4, SSD 512GB, Intel","7.995,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140073-1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-t590-intel-core-i7-8565u-16gb-ddr4-ssd-512gb-intel-uhd-graphics-windows-10-pro.html"
"1612455610-7200","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF F15 FX506LI-BQ106, Intel® Core™ i7-10870H, 16GB DDR4, SS","5.399,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144219-1_1.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-f15-fx506li-bq106-intel-core-i7-10870h-16gb-ddr4-ssd-1tb-nvidia-geforce-gtx-1650-ti-4gb-free-dos.html"
"1612455610-7175","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad E15, Intel® Core™ i5-10210U, 8GB DDR4, HDD 1TB, AMD Rade","3.599,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142853-1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-e15-intel-core-i5-10210u-8gb-ddr4-hdd-1tb-amd-radeon-rx-640-2gb-free-dos.html"
"1612455593-7138","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop 2 in 1 Dell Latitude 5310, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB,","5.693,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145020-1.jpg","","https://www.flanco.ro/laptop-2-in-1-dell-latitude-5310-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1612455561-7076","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Lenovo IdeaPad 3 15ARH05, AMD Ryzen™ 5 4600H, 8GB DDR4, SSD 256GB, NVI","3.699,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144700-7.jpg","","https://www.flanco.ro/laptop-gaming-lenovo-ideapad-3-15arh05-amd-ryzen-5-4600h-8gb-ddr4-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos.html"
"1612455561-7085","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15z-db100, AMD Ryzen™ 7 3700U, 8GB DDR4, HDD 1TB, AMD Radeon™ Vega 1","2.799,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143883-1.jpg","","https://www.flanco.ro/laptop-hp-15z-db100-amd-ryzen-7-3700u-8gb-ddr4-hdd-1tb-amd-radeon-vega-10-graphics-free-dos.html"
"1612455610-7168","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Huawei MateBook D14 2020, AMD Ryzen™ 5 3500U, 8GB DDR4, SSD 512","3.099,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140695-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-huawei-matebook-d14-2020-amd-ryzen-5-3500u-8gb-ddr4-ssd-512gb-amd-radeon-vega-8-windows-10-home-mystic-silver.html"
"1612455610-7169","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer Swift SF314-57-59LE, Intel® Core™ i5-1035G1, 8GB DDR4, SSD 256GB, I","3.497,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144933-1.jpg","","https://www.flanco.ro/laptop-acer-swift-sf314-57-59le-intel-core-i5-1035g1-8gb-ddr4-ssd-256gb-intel-uhd-graphics-bootable-linux.html"
"1612455593-7130","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF FX505GT-HN098, Intel® Core™ i5-9300H, 8GB DDR4, HDD 1TB","4.299,00 lei","In stoc","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/141949-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-fx505gt-hn098-intel-174-core-trade-i5-9300h-8gb-ddr4-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos.html"
"1612455561-7100","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5510, Intel® Core™ i5-10310U, 8GB DDR4, SSD 256GB, Intel&#","4.073,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145033-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5510-intel-core-i5-10310u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-ubuntu-18-04.html"
"1612455577-7128","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i9, 16GB DDR4, SSD 1TB, AMD","14.299,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/3/138488-1_8.jpg","","https://www.flanco.ro/laptop-apple-macbook-pro-16-touch-bar-intel-core-i9-16gb-ddr4-ssd-1tb-amd-radeon-pro-5500m-4gb-macos-catalina-silver-int-kb.html"
"1612455593-7159","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop 2-in-1 Dell Latitude 5310, Intel® Core™ i5-10310U, 16GB DDR4, SSD 512GB,","6.316,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143640-1.jpg","","https://www.flanco.ro/laptop-2-in-1-dell-latitude-5310-intel-core-i5-10310u-16gb-ddr4-ssd-512gb-intel-uhd-graphics-windows-10-pro.html"
"1612455593-7137","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA040T, AMD Ryzen™ 9 4900HS, 16GB DDR4,","7.994,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144937-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401iv-ha040t-amd-ryzen-9-4900hs-16gb-ddr4-ssd-1tb-nvidia-geforce-rtx-2060-6gb-windows-10-home.html"
"1612455610-7191","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 3510, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB, Intel&#","4.399,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143890-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-3510-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1612455561-7078","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 130-15IKB, Intel® Core™ i3-8130U, 4GB DDR4, HDD 1TB, Inte","2.299,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144148-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-130-15ikb-intel-core-i3-8130u-4gb-ddr4-hdd-1tb-intel-uhd-graphics-free-dos.html"
"1612455593-7143","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Dell Inspiron 5500 G5, Intel® Core™ i5-10300H, 8GB DDR4, SSD 512G","5.895,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145019-1.jpg","","https://www.flanco.ro/laptop-gaming-dell-inspiron-5500-g5-intel-core-i5-10300h-8gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1660-ti-6gb-windows-10-home.html"
"1612455593-7141","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP ProBook 440 G7, Intel® Core™ i7-10510U, 8GB DDR4, HDD 1TB + SSD 256GB","4.498,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140661-1_2.jpg","","https://www.flanco.ro/laptop-hp-probook-440-g7-intel-core-i7-10510u-8gb-ddr4-hdd-1tb-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1612455593-7132","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA037, AMD Ryzen 9 4900HS, 14"" QHD, 16GB","7.692,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/3/139946-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401iv-ha037-amd-ryzen-9-4900hs-14-qhd-16gb-ddr4-ssd-1tb-nvidia-geforce-rtx-2060-max-q-6gb-free-dos-moonlight-white.html"
"1612455561-7082","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus E410MA-EB268, Intel® Celeron® N4020, 4GB DDR4, SSD 256GB, Intel®","1.549,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144664-1.jpg","","https://www.flanco.ro/laptop-asus-e410ma-eb268-intel-celeron-n4020-4gb-ddr4-ssd-256gb-intel-uhd-graphics-free-dos.html"
"1612455561-7090","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15-dw1083wm, Intel® Pentium® Gold 6405U, 4GB DDR4, SSD 128GB, Intel","2.399,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144216-1_1.jpg","","https://www.flanco.ro/laptop-hp-15-dw1083wm-intel-pentium-gold-6405u-4gb-ddr4-ssd-128gb-intel-uhd-graphics-windows-10-home-s.html"
"1612455561-7096","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Dell Inspiron 5402, Intel® Core™ i3-1115G4, 4GB DDR4, SSD","2.999,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/d/i/di5402i34256wh_1.jpg","","https://www.flanco.ro/laptop-ultraportabil-dell-inspiron-5402-intel-core-i3-1115g4-4gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-home-s.html"
"1612455610-7197","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF F15 FX506LI-BQ104, Intel® Core™ i7-10870H, 16GB DDR4, SS","4.899,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144219-1_1_1.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-f15-fx506li-bq104-intel-core-i7-10870h-16gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1650-ti-4gb-free-dos.html"
"1612455610-7178","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP Pavilion 14-ce3011nq, Intel® Core™ i5-1035G1, 16GB DDR4, SSD 512GB, I","3.999,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140107-1.jpg","","https://www.flanco.ro/laptop-hp-pavilion-14-ce3011nq-intel-core-i5-1035g1-16gb-ddr4-ssd-512gb-intel-uhd-graphics-windows-10-home.html"
"1612455610-7166","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15s-eq1014nq, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 256GB, AMD Radeon™ G","2.999,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144680-1.jpg","","https://www.flanco.ro/laptop-hp-15s-eq1014nq-amd-ryzen-5-4500u-8gb-ddr4-ssd-256gb-amd-radeon-graphics-free-dos.html"
"1612455610-7185","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Asus E210MA-GJ001TS, Intel® Celeron® N4020, 4GB DDR4, eMMC","1.449,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143955-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-asus-e210ma-gj001ts-intel-celeron-n4020-4gb-ddr4-emmc-64gb-intel-uhd-graphics-windows-10-home-s-blue.html"
"1612455593-7163","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF F15 FX506LU-HN109, Intel® Core™ i7-10870H, 16GB DDR4, SS","5.699,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144142-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-f15-fx506lu-hn109-intel-core-i7-10870h-16gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1660ti-6gb-free-dos.html"
"1612455593-7158","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad L14 Gen 1, AMD Ryzen™ 7 PRO 4750U, 16GB DDR4, SSD 512GB, AMD","5.646,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142262-1_1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-l14-gen-1-amd-ryzen-7-pro-4750u-16gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-pro.html"
"1612455593-7157","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Dell Alienware m17 R3, Intel® Core™ i7-10750H, 16GB DDR4, SSD 1TB","12.999,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/141934-1_1.jpg","","https://www.flanco.ro/laptop-gaming-dell-alienware-m17-r3-intel-core-i7-10750h-16gb-ddr4-ssd-1tb-nvidia-geforce-gtx-1660-ti-6gb-windows-10-pro.html"
"1612455593-7164","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF F17 FX706LI-H7035, Intel® Core™ i5-10300H, 8GB DDR4, HDD","4.499,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143679-1_2.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-f17-fx706li-h7035-intel-core-i5-10300h-8gb-ddr4-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1650-ti-4gb-free-dos.html"
"1612455577-7113","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad Creator 5 15IMH05, Intel® Core™ i5-10300H, 16GB DDR4, HDD","4.996,90 lei","In stoc - exclusiv online","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/141741-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-creator-5-15imh05-intel-core-i5-10300h-16gb-ddr4-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos.html"
"1612455593-7160","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Strix SCAR 15 G532LV-AZ041, Intel® Core™ i7-10875H, 16GB","8.301,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143646-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-strix-scar-15-g532lv-az041-intel-core-i7-10875h-16gb-ddr4-ssd-1tb-nvidia-geforce-rtx-2060-6gb-free-dos.html"
"1612455610-7172","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB, Intel&#","3.799,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143763-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5410-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-linux.html"
"1612455593-7134","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Huawei MateBook D14 2020, AMD Ryzen™ 7 3700U, 8GB DDR4, SSD 512","3.599,99 lei","In stoc","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144478-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-huawei-matebook-d14-2020-amd-ryzen-7-3700u-8gb-ddr4-ssd-512gb-amd-radeon-rx-vega-10-graphics-windows-10-home.html"
