web-scraper-order,web-scraper-start-url,price,title,availability,pagination,pagination-href,image,link,link-href
"1612613836-3454","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","7.999,90lei","Laptop HP EliteBook Folio 1030 G1, Intel Core m5-6Y57 pana la 2.8GHz, 13.3"" Full HD, 8GB, SSD 256GB, Intel HD Graphics 515, Windows 10 Pro, argintiu","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","","Laptop HP EliteBook Folio 1030 G1, Intel Core m5-6Y57 pana la 2.8GHz, 13.3"" Full HD, 8GB, SSD 256GB, Intel HD Graphics 515, Windows 10 Pro, argintiu","https://mediagalaxy.ro/laptop-hp-elitebook-folio-1030-g1-intel-core-m5-6y57-pana-la-2-8ghz-13-3-full-hd-8gb-ssd-256gb-intel-hd-graphics-515-windows-10-pro-argintiu/cpd/LAPHPW4W53AW/"
"1612613924-3783","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.699,90lei","Laptop ASUS VivoBook 15 X512DK-EJ212, AMD Ryzen 5 3500U pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon R540X 2GB, Free DOS, Coral Crush","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop ASUS VivoBook 15 X512DK-EJ212, AMD Ryzen 5 3500U pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon R540X 2GB, Free DOS, Coral Crush","https://mediagalaxy.ro/laptop-asus-vivobook-15-x512dk-ej212-amd-ryzen-5-3500u-pana-la-3-7ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-r540x-2gb-free-dos-coral-crush/cpd/LAPX512DKEJ212/"
"1612613805-3388","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","5.299,90lei","Laptop Gaming LENOVO IdeaPad Creator 5 15IMH05, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, 1TB + SSD 256GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, verde inchis","In anumite magazine","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop Gaming LENOVO IdeaPad Creator 5 15IMH05, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, 1TB + SSD 256GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, verde inchis","https://mediagalaxy.ro/laptop-gaming-lenovo-ideapad-creator-5-15imh05-intel-core-i7-10750h-pana-la-5-0ghz-15-6-full-hd-16gb-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos-verde-inchis/cpd/LAP82D4002DRM/"
"1612613924-3761","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.099,90lei","Laptop Gaming ASUS TUF FX505DT-HN482, AMD Ryzen 7 3750H pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Gold Steel","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop Gaming ASUS TUF FX505DT-HN482, AMD Ryzen 7 3750H pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Gold Steel","https://mediagalaxy.ro/laptop-gaming-asus-tuf-fx505dt-hn482-amd-ryzen-7-3750h-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-512gb-nvidia-geforce-gtx-1650-4gb-free-dos-gold-steel/cpd/LAPFX505DTHN482/"
"1612613850-3549","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","5.599,90lei","Laptop APPLE MacBook Air 13 mgn93ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 256GB, Grafica integrata, macOS Big Sur, Silver - Tastatura layout INT","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","","Laptop APPLE MacBook Air 13 mgn93ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 256GB, Grafica integrata, macOS Big Sur, Silver - Tastatura layout INT","https://mediagalaxy.ro/laptop-apple-macbook-air-13-mgn93ze-a-apple-m1-13-3-retina-display-8gb-ssd-256gb-grafica-integrata-macos-big-sur-silver-tastatura-layout-int/cpd/LAPMGN93ZEA/"
"1612613910-3701","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.899,90lei","Laptop 2 in 1 LENOVO Yoga C640-13IML, Intel Core i5-10210U pana la 4.2GHz, 13.3"" Full HD Touch, 8GB, SSD 512GB, Intel UHD Graphics, Windows 10 Home S, Iron Grey","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","","Laptop 2 in 1 LENOVO Yoga C640-13IML, Intel Core i5-10210U pana la 4.2GHz, 13.3"" Full HD Touch, 8GB, SSD 512GB, Intel UHD Graphics, Windows 10 Home S, Iron Grey","https://mediagalaxy.ro/laptop-2-in-1-lenovo-yoga-c640-13iml-intel-core-i5-10210u-pana-la-4-2-ghz-13-3-full-hd-touch-8gb-ssd-512gb-intel-uhd-graphics-windows-10-home-s-iron-grey/cpd/TPC81UE004JRM/"
"1612613910-3705","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.799,90lei","Laptop HP 17-by3021nq, Intel Core i5-1035G1 pana la 3.6GHz, 17.3"" Full HD, 16GB, HDD 1TB +  SSD 256GB, NVIDIA GeForce MX330 2GB, Free DOS, argintiu","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","","Laptop HP 17-by3021nq, Intel Core i5-1035G1 pana la 3.6GHz, 17.3"" Full HD, 16GB, HDD 1TB +  SSD 256GB, NVIDIA GeForce MX330 2GB, Free DOS, argintiu","https://mediagalaxy.ro/laptop-hp-17-by3021nq-intel-core-i5-1035g1-pana-la-3-6ghz-17-3-full-hd-16gb-hdd-1tb-ssd-256gb-nvidia-geforce-mx330-2gb-free-dos-argintiu/cpd/LAP1L0A3EA/"
"1612613924-3767","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.999,90lei","Laptop Gaming ASUS TUF FX505DT-HN552, AMD Ryzen 5 3550H pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 256GB + HDD 1TB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Stealth Black","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop Gaming ASUS TUF FX505DT-HN552, AMD Ryzen 5 3550H pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 256GB + HDD 1TB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Stealth Black","https://mediagalaxy.ro/laptop-gaming-asus-tuf-fx505dt-hn552-amd-ryzen-5-3550h-pana-la-3-7ghz-15-6-full-hd-8gb-ssd-256gb-hdd-1tb-nvidia-geforce-gtx-1650-4gb-free-dos-stealth-black/cpd/LAPFX505DTHN552/"
"1612613924-3754","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.299,90lei","Laptop Gaming ASUS TUF FX705DT-AU039, AMD Ryzen 7 3750H pana la 4GHz, 17.3"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Gold Steel","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop Gaming ASUS TUF FX705DT-AU039, AMD Ryzen 7 3750H pana la 4GHz, 17.3"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Gold Steel","https://mediagalaxy.ro/laptop-gaming-asus-tuf-fx705dt-au039-amd-ryzen-7-3750h-pana-la-4ghz-17-3-full-hd-8gb-ssd-512gb-nvidia-geforce-gtx-1650-4gb-free-dos-gold-steel/cpd/LAPFX705DTAU039/"
"1612613805-3398","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","4.099,90lei","Laptop 2 in 1 MICROSOFT Surface Pro 7, Intel Core i5-1035G4 pana la 3.7GHz, 12.3"" Touch, 8GB, SSD 256GB, Intel Iris Plus Graphics, Windows 10 Home, negru mat","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop 2 in 1 MICROSOFT Surface Pro 7, Intel Core i5-1035G4 pana la 3.7GHz, 12.3"" Touch, 8GB, SSD 256GB, Intel Iris Plus Graphics, Windows 10 Home, negru mat","https://mediagalaxy.ro/laptop-2-in-1-microsoft-surface-pro-7-intel-core-i5-1035g4-pana-la-3-7ghz-12-3-touch-8gb-ssd-256gb-intel-iris-plus-graphics-windows-10-home-negru-mat/cpd/LAPPUV00018/"
"1612613776-3296","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","6.099,90lei","Laptop Gaming HP Omen 15-ek0004nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Free DOS, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","","Laptop Gaming HP Omen 15-ek0004nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Free DOS, negru","https://mediagalaxy.ro/laptop-gaming-hp-omen-15-ek0004nq-intel-core-i7-10750h-pana-la-5-0ghz-15-6-full-hd-8gb-ssd-512gb-nvidia-geforce-rtx-2060-6gb-free-dos-negru/cpd/LAP1K9P4EA/"
"1612613850-3514","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","6.199,90lei","Laptop Gaming Omen by HP 15-dc1004nq, Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, HDD 1TB + SSD 128GB, NVIDIA GeForce RTX 2060 6GB, Free Dos, negru","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","","Laptop Gaming Omen by HP 15-dc1004nq, Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, HDD 1TB + SSD 128GB, NVIDIA GeForce RTX 2060 6GB, Free Dos, negru","https://mediagalaxy.ro/laptop-gaming-omen-by-hp-15-dc1004nq-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-hdd-1tb-ssd-128gb-nvidia-geforce-rtx-2060-6gb-free-dos-negru/cpd/LAP6BM72EA/"
"1612613805-3371","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.999,90lei","Laptop ASUS VivoBook 15 M513IA-EJ058T, AMD Ryzen 5 4500U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Windows 10 Home, alb","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop ASUS VivoBook 15 M513IA-EJ058T, AMD Ryzen 5 4500U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Windows 10 Home, alb","https://mediagalaxy.ro/laptop-asus-vivobook-15-m513ia-ej058t-amd-ryzen-5-4500u-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-graphics-windows-10-home-alb/cpd/LAPM513IAEJ058T/"
"1612613761-3247","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","7.799,90lei","Laptop LENOVO ThinkPad T14 Gen 1, Intel Core i7-10510U pana la 4.9GHz, 14"" Full HD, 16GB, SSD 512GB, Intel UHD Graphics, Windows 10 Pro, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/3/","","Laptop LENOVO ThinkPad T14 Gen 1, Intel Core i7-10510U pana la 4.9GHz, 14"" Full HD, 16GB, SSD 512GB, Intel UHD Graphics, Windows 10 Pro, negru","https://mediagalaxy.ro/laptop-lenovo-thinkpad-t14-gen-1-intel-core-i7-10510u-pana-la-4-9ghz-14-full-hd-16gb-ssd-512gb-intel-uhd-graphics-windows-10-pro-negru/cpd/LAP20S0000NRI/"
"1612613820-3437","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","8.799,90lei","Laptop Gaming ASUS ROG Zephyrus G14 GA401IV-HA040T, AMD Ryzen 9 4900HS pana la 4.4GHz, 14"" QHD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2060 Max-Q 6GB, Windows 10 Home, gri inchis","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","","Laptop Gaming ASUS ROG Zephyrus G14 GA401IV-HA040T, AMD Ryzen 9 4900HS pana la 4.4GHz, 14"" QHD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2060 Max-Q 6GB, Windows 10 Home, gri inchis","https://mediagalaxy.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401iv-ha040t-amd-ryzen-9-4900hs-pana-la-4-4ghz-14-qhd-16gb-ssd-1tb-nvidia-geforce-rtx-2060-max-q-6gb-windows-10-home-gri-inchis/cpd/LAPGA401IHA040T/"
"1612613820-3412","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","15.499,90lei","Laptop 2 in 1 MICROSOFT Surface Book 3, Intel Core i7-1065G7 pana la 3.9GHz, 15"" Touch, 32GB, SSD 512GB, NVIDIA GeForce GTX 1660 Ti Max-Q Design 6GB, Windows 10 Home, platinum","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","","Laptop 2 in 1 MICROSOFT Surface Book 3, Intel Core i7-1065G7 pana la 3.9GHz, 15"" Touch, 32GB, SSD 512GB, NVIDIA GeForce GTX 1660 Ti Max-Q Design 6GB, Windows 10 Home, platinum","https://mediagalaxy.ro/laptop-2-in-1-microsoft-surface-book-3-intel-core-i7-1065g7-pana-la-3-9ghz-15-touch-32gb-ssd-512gb-nvidia-geforce-gtx-1660-ti-max-q-design-6gb-windows-10-home-platinum/cpd/LAPSMN00009/"
"1612613731-3162","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.999,90lei","Laptop DELL Latitude 5410, Intel Core i5-10310U pana la 4.4GHz, 14"" Full HD Touch, 8GB, SSD 256GB, Intel UHD Graphics 620, Windows 10 Pro, gri","In Stoc","","","","Laptop DELL Latitude 5410, Intel Core i5-10310U pana la 4.4GHz, 14"" Full HD Touch, 8GB, SSD 256GB, Intel UHD Graphics 620, Windows 10 Pro, gri","https://mediagalaxy.ro/laptop-dell-latitude-5410-intel-core-i5-10310u-pana-la-4-4ghz-14-full-hd-touch-8gb-ssd-256gb-intel-uhd-graphics-620-windows-10-pro-gri/cpd/TPC54106341/"
"1612613776-3304","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","5.899,90lei","Laptop Gaming ACER Predator Helios 300 PH315-53, Intel Core i5-10300H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 256GB, NVIDIA GeForce RTX 2060 6GB, Windows 10 Home, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","","Laptop Gaming ACER Predator Helios 300 PH315-53, Intel Core i5-10300H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 256GB, NVIDIA GeForce RTX 2060 6GB, Windows 10 Home, negru","https://mediagalaxy.ro/laptop-gaming-acer-predator-helios-300-ph315-53-intel-core-i5-10300h-pana-la-4-5ghz-15-6-full-hd-16gb-ssd-256gb-nvidia-geforce-rtx-2060-6gb-windows-10-home-negru/cpd/LAPNHQ7YEX00B/"
"1612613746-3186","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","12.499,90lei","Laptop Gaming HP Omen 15-dh1032nq, Intel Core i9-10885H pana la 5.3GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, Free DOS, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","","Laptop Gaming HP Omen 15-dh1032nq, Intel Core i9-10885H pana la 5.3GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, Free DOS, negru","https://mediagalaxy.ro/laptop-gaming-hp-omen-15-dh1032nq-intel-core-i9-10885h-pana-la-5-3ghz-15-6-full-hd-16gb-ssd-1tb-nvidia-geforce-rtx-2080-super-max-q-8gb-free-dos-negru/cpd/LAP1L6U7EA/"
