web-scraper-order,web-scraper-start-url,title,price,availability,link,link-href,image-src,pagination,pagination-href
"1612611701-1051","https://www.emag.ro/laptopuri/c","Laptop ultraportabil Huawei Matebook 13 2020 cu procesor Intel Core i7-10510U pana la 4.90 GHz, 13"", 2K, IPS, Touch, 16GB, 512GB SSD, NVIDIA GeForce MX250, Windows 10 Home, Grey","5.899<sup>99</sup> <span>Lei</span>","ultimul produs in stoc","Laptop ultraportabil Huawei Matebook 13 2020 cu procesor Intel Core i7-10510U pana la 4.90 GHz, 13"", 2K, IPS, Touch, 16GB, 512GB SSD, NVIDIA GeForce MX250, Windows 10 Home, Grey","https://www.emag.ro/laptop-ultraportabil-huawei-matebook-13-2020-cu-procesor-intel-core-i7-10510u-pana-la-4-90-ghz-13-2k-ips-touch-16gb-512gb-ssd-nvidia-geforce-mx250-windows-10-home-grey-53010uhs/pd/D54J2YMBM/","https://s13emagst.akamaized.net/products/30612/30611348/images/res_573a106f2c8ed7b3dc31954443f7caed.jpg?width=200&height=200&hash=05E6E898C61FB1EF8A179E58B2CCFBD2","17","https://www.emag.ro/laptopuri/p17/c"
"1612611551-489","https://www.emag.ro/laptopuri/c","Laptop Lenovo ThinkPad T580 cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", 8GB, 256GB SSD, Intel® UHD Graphics 620, FPR, Microsoft Windows 10 Pro, Black","5.593<sup>00</sup> <span>Lei</span>","ultimele 3 produse","Laptop Lenovo ThinkPad T580 cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", 8GB, 256GB SSD, Intel® UHD Graphics 620, FPR, Microsoft Windows 10 Pro, Black","https://www.emag.ro/laptop-lenovo-thinkpad-t580-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-8gb-256gb-ssd-intelr-uhd-graphics-620-fpr-microsoft-windows-10-pro-black-20l9001yri/pd/DD3NZSBBM/","https://s13emagst.akamaized.net/products/16231/16230403/images/res_5282331837bcff5a1182fb0fa5482cb8.jpg?width=200&height=200&hash=0F736DBED3BC9587792E03E7CC9444F9","12","https://www.emag.ro/laptopuri/p12/c"
"1612611521-376","https://www.emag.ro/laptopuri/c","Laptop ThinkPad E15 Gen 2, Intel® Core™ i5-1135G7 Processor(8M Cache, up to 4.20 GHz), 15.6"" FHD (1920x1080) IPS 250nits Anti-glare, 1x 8GB DIMM DDR4-2666, Integrated Intel UHD Graphics, 512GB SSD M.2 2242 PCIe NVMe ,Free DOS","3.947<sup>23</sup> <span>Lei</span>","ultimele 3 produse","Laptop ThinkPad E15 Gen 2, Intel® Core™ i5-1135G7 Processor(8M Cache, up to 4.20 GHz), 15.6"" FHD (1920x1080) IPS 250nits Anti-glare, 1x 8GB DIMM DDR4-2666, Integrated Intel UHD Graphics, 512GB SSD M.2 2242 PCIe NVMe ,Free DOS","https://www.emag.ro/laptop-thinkpad-e15-gen-2-intelr-coretm-i5-1135g7-processor-8m-cache-up-to-4-20-ghz-15-6-fhd-1920x1080-ips-250nits-anti-glare-1x-8gb-dimm-ddr4-2666-integrated-intel-uhd-graphics-512gb-ssd-m-2-2242-pci/pd/D5PQN7MBM/","https://s13emagst.akamaized.net/products/33539/33538337/images/res_1c88ed8f99b5b24fb73503d967debf9e.jpg?width=200&height=200&hash=42B9E4DC73C2070CFAD73922CF187F9E","15","https://www.emag.ro/laptopuri/p15/c"
"1612611597-670","https://www.emag.ro/laptopuri/c","Laptop Ultraportabil Lenovo IdeaPad 5 14IIL05 cu procesor Intel® Core™ i7-1065G7, 14"" Full HD, 16GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, FreeDOS, Graphite Grey","5.009<sup>99</sup> <span>Lei</span>","ultimele 3 produse","Laptop Ultraportabil Lenovo IdeaPad 5 14IIL05 cu procesor Intel® Core™ i7-1065G7, 14"" Full HD, 16GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, FreeDOS, Graphite Grey","https://www.emag.ro/laptop-ultraportabil-lenovo-ideapad-5-14iil05-cu-procesor-intelr-coretm-i7-1065g7-14-full-hd-16gb-512gb-ssd-nvidiar-geforcer-mx350-2gb-freedos-graphite-grey-81yh00ddrm/pd/DS7P03MBM/","https://s13emagst.akamaized.net/products/31710/31709325/images/res_2715a4c7bd7095d9aa6c43e7ab0bcb7f.jpg?width=200&height=200&hash=5E7C866D3E186C0065FD0A9CA91DCB81","7","https://www.emag.ro/laptopuri/p7/c"
"1612611671-937","https://www.emag.ro/laptopuri/c","Laptop ultraportabil Dell Latitude 5411 cu procesor Intel Core i5-10400H pana la 4.60 GHz, 14"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX250 2GB, Windows 10 Pro, Silver","4.999<sup>99</sup> <span>Lei</span>","în stoc","Laptop ultraportabil Dell Latitude 5411 cu procesor Intel Core i5-10400H pana la 4.60 GHz, 14"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX250 2GB, Windows 10 Pro, Silver","https://www.emag.ro/laptop-ultraportabil-dell-latitude-5411-cu-procesor-intel-core-i5-10400h-pana-la-4-60-ghz-14-full-hd-8gb-256gb-ssd-nvidia-geforce-mx250-2gb-windows-10-pro-silver-n004l541114emea/pd/DLNXH7MBM/","https://s13emagst.akamaized.net/products/33379/33378811/images/res_09d1573ed534d31c797023dd8d70b1bc.jpg?width=200&height=200&hash=A7BEF79A7FD9C91F89E523CB0A79C68F","11","https://www.emag.ro/laptopuri/p11/c"
"1612611431-54","https://www.emag.ro/laptopuri/c","Laptop HP 15-dw1018nq cu procesor Intel Celeron N4020 pana la 2.80 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel UHD Graphics, Free DOS, Jet Black","1.399<sup>99</sup> <span>Lei</span>","în stoc","Laptop HP 15-dw1018nq cu procesor Intel Celeron N4020 pana la 2.80 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel UHD Graphics, Free DOS, Jet Black","https://www.emag.ro/laptop-hp-15-dw1018nq-cu-procesor-intel-celeron-n4020-pana-la-2-80-ghz-15-6-hd-4gb-256gb-ssd-intel-uhd-graphics-free-dos-jet-black-2g2c0ea/pd/DPZ91DMBM/","https://s13emagst.akamaized.net/products/34870/34869618/images/res_a5d65a9ac9da611f4809af2e52b27ee9.jpg?width=200&height=200&hash=0B02D75B4139292DEB2F130A2CEE108E","",""
"1612611506-316","https://www.emag.ro/laptopuri/c","Laptop HP EliteBook 840 G6 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 14"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, Windows 10 Pro, Argintiu","6.783<sup>00</sup> <span>Lei</span>","ultimele 2 produse","Laptop HP EliteBook 840 G6 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 14"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, Windows 10 Pro, Argintiu","https://www.emag.ro/laptop-hp-elitebook-840-g6-cu-procesor-intelr-coretm-i5-8265u-pana-la-3-90-ghz-14-full-hd-8gb-256gb-ssd-intelr-uhd-graphics-windows-10-pro-argintiu-6xd54ea/pd/DM2G93MBM/","https://s13emagst.akamaized.net/products/31845/31844782/images/res_44f7957bf319c613bb0b185dd7a24938.jpg?width=200&height=200&hash=1B6A2D0F01DEB2E458DFD55FAF3AA74A","16","https://www.emag.ro/laptopuri/p16/c"
"1612611686-990","https://www.emag.ro/laptopuri/c","Laptop Gaming ASUS ROG Strix SCAR 15 G532LW cu procesor Intel® Core™ i7-10875H pana a 5.10 GHz, 15.6"". Full HD, 240Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 2070 8GB, Free DOS, Black","7.799<sup>99</sup> <span>Lei</span>","ultimul produs in stoc","Laptop Gaming ASUS ROG Strix SCAR 15 G532LW cu procesor Intel® Core™ i7-10875H pana a 5.10 GHz, 15.6"". Full HD, 240Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 2070 8GB, Free DOS, Black","https://www.emag.ro/laptop-gaming-asus-rog-strix-scar-15-g532lw-cu-procesor-intelr-coretm-i7-10875h-pana-a-5-10-ghz-15-6-full-hd-240hz-16gb-512gb-ssd-nvidiar-geforce-rtxtm-2070-8gb-free-dos-black-g532lw-az057/pd/DXG7K2MBM/","https://s13emagst.akamaized.net/products/29978/29977700/images/res_9e0b94ce6ef4848907fba62cebb21949.jpg?width=200&height=200&hash=ABB5DBB12143E2F9BEEBCA192CDA9503","14","https://www.emag.ro/laptopuri/p14/c"
"1612611551-503","https://www.emag.ro/laptopuri/c","Laptop Lenovo ThinkPad T14s Gen 1, Procesor AMD Ryzen™ 5 PRO 4650U (8M Cache, up to 4.0 GHz), 14'' FHD,16GB DDR4, 256GB SSD, Radeon, Win 10 Pro, Black","7.251<sup>86</sup> <span>Lei</span>","ultimul produs in stoc","Laptop Lenovo ThinkPad T14s Gen 1, Procesor AMD Ryzen™ 5 PRO 4650U (8M Cache, up to 4.0 GHz), 14'' FHD,16GB DDR4, 256GB SSD, Radeon, Win 10 Pro, Black","https://www.emag.ro/laptop-lenovo-thinkpad-t14s-gen-1-procesor-amd-ryzentm-5-pro-4650u-8m-cache-up-to-4-0-ghz-14-fhd-16gb-ddr4-256gb-ssd-radeon-win-10-pro-black-20uh0019ri/pd/D7PT13MBM/","https://s13emagst.akamaized.net/products/32061/32060076/images/res_b5be0b181bf4445d81f60dc9f814a3cb.jpg?width=200&height=200&hash=04D3E36C189613E6139950B49EF9A8F4","12","https://www.emag.ro/laptopuri/p12/c"
"1612611671-987","https://www.emag.ro/laptopuri/c","Laptop Gaming Lenovo Legion 5P 15IMH05H cu procesor Intel® Core™ i7-10750H, 15.6"" Full HD, IPS, 16GB, 1TB SSD, NVIDIA® GeForce® RTX 2060 6GB, FreeDOS, Iron Grey","6.997<sup>20</sup> <span>Lei</span>","ultimul produs in stoc","Laptop Gaming Lenovo Legion 5P 15IMH05H cu procesor Intel® Core™ i7-10750H, 15.6"" Full HD, IPS, 16GB, 1TB SSD, NVIDIA® GeForce® RTX 2060 6GB, FreeDOS, Iron Grey","https://www.emag.ro/laptop-gaming-lenovo-legion-5p-15imh05h-cu-procesor-intelr-coretm-i7-10750h-15-6-full-hd-ips-16gb-1tb-ssd-nvidiar-geforcer-rtx-2060-6gb-freedos-iron-grey-82aw003nrm/pd/D4ZB4YMBM/","https://s13emagst.akamaized.net/products/31043/31042923/images/res_d0171d863617b682c673c643485e0271.jpg?width=200&height=200&hash=8E72CC6507ECB223CEC2809E16EA0FBB","11","https://www.emag.ro/laptopuri/p11/c"
"1612611536-421","https://www.emag.ro/laptopuri/c","Laptop Apple MacBook Pro 13, ecran Retina, Touch Bar, procesor Intel® Core™ i5 2.30 GHz, 8GB, 512GB SSD, Intel Iris Plus Graphics 655, macOS High Sierra, ROM KB, Silver","11.297<sup>86</sup> <span>Lei</span>","ultimul produs in stoc","Laptop Apple MacBook Pro 13, ecran Retina, Touch Bar, procesor Intel® Core™ i5 2.30 GHz, 8GB, 512GB SSD, Intel Iris Plus Graphics 655, macOS High Sierra, ROM KB, Silver","https://www.emag.ro/laptop-apple-macbook-pro-13-ecran-retina-touch-bar-procesor-intelr-coretm-i5-2-30-ghz-8gb-512gb-ssd-intel-iris-plus-graphics-655-macos-high-sierra-rom-kb-silver-mr9v2ro-a/pd/DJB3FSBBM/","https://s13emagst.akamaized.net/products/16150/16149617/images/res_ae713bfc77db5e548335a4bab1eb7a13.jpg?width=200&height=200&hash=93F06EDBDA968179AB672DD48AC6E231","13","https://www.emag.ro/laptopuri/p13/c"
"1612611476-175","https://www.emag.ro/laptopuri/c","Laptop ultraportabil Acer Swift 3 SF314-57 cu procesor Intel Core i5-1035G1, 14"", Full HD, IPS, 16GB, 256GB SSD, Intel UHD Graphics, WiFi 802.11ax","3.899<sup>99</sup> <span>Lei</span>","ultimele 3 produse","Laptop ultraportabil Acer Swift 3 SF314-57 cu procesor Intel Core i5-1035G1, 14"", Full HD, IPS, 16GB, 256GB SSD, Intel UHD Graphics, WiFi 802.11ax","https://www.emag.ro/laptop-ultraportabil-acer-swift-3-sf314-57-cu-procesor-intel-core-i5-1035g1-14-full-hd-ips-16gb-256gb-ssd-intel-uhd-graphics-wifi-802-11ax-nx-hj4ex-002/pd/DGJT6DMBM/","https://s13emagst.akamaized.net/products/34982/34981886/images/res_7ffb49285a744f45b21102413ca61c6f.jpg?width=200&height=200&hash=7131923E2401873FB325A8F8A36223C8","19","https://www.emag.ro/laptopuri/p19/c"
"1612611431-44","https://www.emag.ro/laptopuri/c","Laptop ultraportabil ASUS ZenBook UM433IQ cu procesor AMD Ryzen™ 5 4500U pana la 4GHz, 14"" Full HD, 8GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, Windows 10 Home, Light Grey","4.399<sup>99</sup> <span>Lei</span>","în stoc","Laptop ultraportabil ASUS ZenBook UM433IQ cu procesor AMD Ryzen™ 5 4500U pana la 4GHz, 14"" Full HD, 8GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, Windows 10 Home, Light Grey","https://www.emag.ro/laptop-ultraportabil-asus-zenbook-um433iq-cu-procesor-amd-ryzentm-5-4500u-pana-la-4ghz-14-full-hd-8gb-512gb-ssd-nvidiar-geforcer-mx350-2gb-windows-10-home-light-grey-um433iq-a5024t/pd/D064G3MBM/","https://s13emagst.akamaized.net/products/32283/32282759/images/res_9cfe3bd20671076ea097532288d00745.jpg?width=200&height=200&hash=1E4CE9FF227701342F79927222AA0BF2","",""
"1612611745-1271","https://www.emag.ro/laptopuri/c","Laptop Acer Aspire 5 A515-55 cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, No OS, Black","2.499<sup>99</sup> <span>Lei</span>","în stoc","Laptop Acer Aspire 5 A515-55 cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, No OS, Black","https://www.emag.ro/laptop-acer-aspire-5-a515-55-cu-procesor-intelr-coretm-i5-1035g1-pana-la-3-60-ghz-15-6-full-hd-8gb-512gb-ssd-intel-uhd-graphics-no-os-black-nx-hsgex-004/pd/DC9N9DMBM/","https://s13emagst.akamaized.net/products/30159/30158049/images/res_c27d39721b55810605e9623d849b80d5.jpg?width=200&height=200&hash=F292B6BCC25EE80DF22080DE8675FB53","2","https://www.emag.ro/laptopuri/p2/c"
"1612611745-1254","https://www.emag.ro/laptopuri/c","Laptop ASUS VivoBook S15 S533EQ cu procesor Intel® Core™ i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, Windows 10 Home, Indie Black","3.999<sup>99</sup> <span>Lei</span>","în stoc","Laptop ASUS VivoBook S15 S533EQ cu procesor Intel® Core™ i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, Windows 10 Home, Indie Black","https://www.emag.ro/laptop-asus-vivobook-s15-s533eq-cu-procesor-intelr-coretm-i5-1135g7-pana-la-4-20-ghz-15-6-full-hd-8gb-512gb-ssd-nvidiar-geforcer-mx350-2gb-windows-10-home-indie-black-s533eq-bq005t/pd/D64F1DMBM/","https://s13emagst.akamaized.net/products/34871/34870501/images/res_ada55896838fe9b163fec4615b4c22f8.jpg?width=200&height=200&hash=3517245B846BB955EB1912BD6959D40F","2","https://www.emag.ro/laptopuri/p2/c"
"1612611566-522","https://www.emag.ro/laptopuri/c","Laptop ultraportabil Dell Latitude 5410 cu procesor Intel Core i5-10310U pana la 4.40 Ghz, 14"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, Windows 10 Pro, Carbon Fiber","5.299<sup>99</sup> <span>Lei</span>","în stoc","Laptop ultraportabil Dell Latitude 5410 cu procesor Intel Core i5-10310U pana la 4.40 Ghz, 14"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, Windows 10 Pro, Carbon Fiber","https://www.emag.ro/laptop-ultraportabil-dell-latitude-5410-cu-procesor-intel-core-i5-10310u-pana-la-4-40-ghz-14-full-hd-8gb-512gb-ssd-intel-uhd-graphics-windows-10-pro-carbon-fiber-n019l541014emea/pd/DRPX27MBM/","https://s13emagst.akamaized.net/products/33379/33378804/images/res_cb65468a1e91c6fa4610993156533ced.jpg?width=200&height=200&hash=86CA10846A07591E3022A2CF671821C0","10","https://www.emag.ro/laptopuri/p10/c"
"1612611716-1112","https://www.emag.ro/laptopuri/c","Laptop ultraportabil Dell Latitude 3410 cu procesor Intel® i5-10210U up to 4.2 GHz, 14"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics, Windows 10 Pro, Gri","3.813<sup>95</sup> <span>Lei</span>","în stoc","Laptop ultraportabil Dell Latitude 3410 cu procesor Intel® i5-10210U up to 4.2 GHz, 14"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics, Windows 10 Pro, Gri","https://www.emag.ro/laptop-ultraportabil-dell-latitude-3410-cu-procesor-intelr-i5-10210u-up-to-4-2-ghz-14-full-hd-8gb-256gb-ssd-intel-uhd-graphics-windows-10-pro-gri-dl3410i58256w10pro/pd/DNN287MBM/","https://s13emagst.akamaized.net/products/34086/34085036/images/res_2a9fa812c5ac59d13c0302b8dde1274b.jpg?width=200&height=200&hash=B3650509A7FB0126EF83F1CEFB872765","20","https://www.emag.ro/laptopuri/p20/c"
