web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,link,link-href,image
"1613204969-2684","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 17.3'' Legion 5 17IMH05, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 4GB, No OS, Phantom Black","5.199,00 RON","Nu este in stoc","9","https://www.pcgarage.ro/notebook-laptop/pagina9/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 17.3'' Legion 5 17IMH05, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 4GB, No OS, Phantom Black","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-173-legion-5-17imh05-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-no-os-phantom-black-1/","https://4.grgs.ro/images/products/1/2045418/2108090/thumbnails/gaming-173-legion-5-17imh05-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-no-os-phantom-black-543da3b933ece2d44c21fac1790efba1.jpg, https://3.grgs.ro/images/products/1/2045418/2108090/normal/gaming-173-legion-5-17imh05-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-no-os-phantom-black-543da3b933ece2d44c21fac1790efba1.jpg 2x"
"1613204881-1631","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 17.3'' Legion 5 17IMH05, FHD, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Phantom Black","5.899,00 RON","Nu este in stoc","13","https://www.pcgarage.ro/notebook-laptop/pagina13/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 17.3'' Legion 5 17IMH05, FHD, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Phantom Black","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-173-legion-5-17imh05-fhd-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black/","https://1.grgs.ro/images/products/1/2045418/2057934/thumbnails/gaming-173-legion-5-17imh05-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-no-os-phantom-black-543da3b933ece2d44c21fac1790efba1.jpg, https://3.grgs.ro/images/products/1/2045418/2057934/normal/gaming-173-legion-5-17imh05-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-no-os-phantom-black-543da3b933ece2d44c21fac1790efba1.jpg 2x"
"1613204952-2486","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 15.6'' X509JB, FHD, Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), 8GB DDR4, 512GB SSD, GeForce MX110 2GB, No OS, Grey","3.298,99 RON","Nu este in stoc","10","https://www.pcgarage.ro/notebook-laptop/pagina10/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 15.6'' X509JB, FHD, Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), 8GB DDR4, 512GB SSD, GeForce MX110 2GB, No OS, Grey","https://www.pcgarage.ro/notebook-laptop/asus/156-x509jb-fhd-procesor-intel-core-i5-1035g1-6m-cache-up-to-360-ghz-8gb-ddr4-512gb-ssd-geforce-mx110-2gb-no-os-grey/","https://2.grgs.ro/images/products/1/6622/2027298/thumbnails/156-x509ja-fhd-procesor-intel-core-i5-1035g1-6m-cache-up-to-360-ghz-8gb-ddr4-256gb-ssd-gma-uhd-no-os-grey-625ef10a1df5025b18832eaa5745faaf.jpg, https://5.grgs.ro/images/products/1/6622/2027298/normal/156-x509ja-fhd-procesor-intel-core-i5-1035g1-6m-cache-up-to-360-ghz-8gb-ddr4-256gb-ssd-gma-uhd-no-os-grey-625ef10a1df5025b18832eaa5745faaf.jpg 2x"
"1613205042-3475","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0053nq, FHD, Procesor AMD Ryzen™ 5 3550H (4M Cache, up to 3.70 GHz), 16GB DDR4, 1TB 7200 RPM + 256GB SSD, GeForce GTX 1650 4GB, Free DOS, Shadow Black","3.999,00 RON","Nu este in stoc","17","https://www.pcgarage.ro/notebook-laptop/pagina17/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0053nq, FHD, Procesor AMD Ryzen™ 5 3550H (4M Cache, up to 3.70 GHz), 16GB DDR4, 1TB 7200 RPM + 256GB SSD, GeForce GTX 1650 4GB, Free DOS, Shadow Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-pavilion-15-ec0053nq-fhd-procesor-amd-ryzen-5-3550h-4m-cache-up-to-370-ghz-16gb-ddr4-1tb-7200-rpm-plus-256gb-ssd-geforce-gtx-1650-4gb-free-dos-shadow-black/","https://5.grgs.ro/images/products/1/1960570/2038298/thumbnails/gaming-156-pavilion-15-ec0003nq-fhd-procesor-amd-ryzen-5-3550h-4m-cache-up-to-370-ghz-8gb-ddr4-1tb-7200-rpm-plus-128gb-ssd-geforce-gtx-1650-4gb-freedo-77808542dea6a1581dc8318fd47d9499.jpg, https://3.grgs.ro/images/products/1/1960570/2038298/normal/gaming-156-pavilion-15-ec0003nq-fhd-procesor-amd-ryzen-5-3550h-4m-cache-up-to-370-ghz-8gb-ddr4-1tb-7200-rpm-plus-128gb-ssd-geforce-gtx-1650-4gb-freedo-77808542dea6a1581dc8318fd47d9499.jpg 2x"
"1613205164-4415","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Acer Gaming 15.6'' Predator Helios 300 PH315-53, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 32GB DDR4, 1TB SSD, GeForce GTX 1650 Ti 4GB, Win 10 Home, Abyssal Black","6.698,99 RON","Stoc magazin suficient","4","https://www.pcgarage.ro/notebook-laptop/pagina4/filtre/placa-video-placa-video-dedicata/","Laptop Acer Gaming 15.6'' Predator Helios 300 PH315-53, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 32GB DDR4, 1TB SSD, GeForce GTX 1650 Ti 4GB, Win 10 Home, Abyssal Black","https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-gtx-1650-ti-4gb-win-10-home-abyssal-black/","https://4.grgs.ro/images/products/1/4917/2105378/thumbnails/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-a6a5b90df18e2be8f98301421bdea584.jpg, https://3.grgs.ro/images/products/1/4917/2105378/normal/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-a6a5b90df18e2be8f98301421bdea584.jpg 2x"
"1613204952-2484","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ROG Strix G15 G512LV, FHD 240Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, No OS, Black","7.015,09 RON","Nu este in stoc","10","https://www.pcgarage.ro/notebook-laptop/pagina10/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ROG Strix G15 G512LV, FHD 240Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, No OS, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-rog-strix-g15-g512lv-fhd-240hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-black/","https://5.grgs.ro/images/products/1/2045418/2106066/thumbnails/gaming-156-rog-strix-g15-g512lw-fhd-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2070-8gb-win-10-home-b-5a18be5010d66c9d676b92fa75ec1904.jpg, https://5.grgs.ro/images/products/1/2045418/2106066/normal/gaming-156-rog-strix-g15-g512lw-fhd-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2070-8gb-win-10-home-b-5a18be5010d66c9d676b92fa75ec1904.jpg 2x"
"1613204790-522","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5 15ARH05, FHD IPS, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Phantom Black","4.898,99 RON","Stoc magazin suficient","","","Laptop Lenovo Gaming 15.6'' Legion 5 15ARH05, FHD IPS, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Phantom Black","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5-15arh05-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black/","https://3.grgs.ro/images/products/1/2045418/2047210/thumbnails/gaming-156-legion-5-15arh05-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black-84b27d83a27ad433dd902dd5ee425e72.jpg, https://2.grgs.ro/images/products/1/2045418/2047210/normal/gaming-156-legion-5-15arh05-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black-84b27d83a27ad433dd902dd5ee425e72.jpg 2x"
"1613204826-979","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6'' ENVY 15-ep0002nq, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1650 Ti 4GB, Win 10 Home, Natural Silver","8.499,00 RON","Nu este in stoc","21","https://www.pcgarage.ro/notebook-laptop/pagina21/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6'' ENVY 15-ep0002nq, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1650 Ti 4GB, Win 10 Home, Natural Silver","https://www.pcgarage.ro/notebook-laptop/hp/156-envy-15-ep0002nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-gtx-1650-ti-4gb-win-10-home-natural-silver/","https://2.grgs.ro/images/products/1/6412/2139550/thumbnails/156-envy-15-ep0011nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-gtx-1650-ti-4gb-win-10-pro-natural-silver-cb7ccced032ca61ac5f0a12060bbc458.jpg, https://3.grgs.ro/images/products/1/6412/2139550/normal/156-envy-15-ep0011nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-gtx-1650-ti-4gb-win-10-pro-natural-silver-cb7ccced032ca61ac5f0a12060bbc458.jpg 2x"
"1613204934-2336","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Alienware Gaming 15.6'' m15 R2, FHD, Procesor Intel® Core™ i7-9750H (12M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2070 8GB, Win 10 Pro, Dark Side of the Moon, 3Yr BOS","10.498,99 RON","Stoc magazin limitat","7","https://www.pcgarage.ro/notebook-laptop/pagina7/filtre/placa-video-placa-video-dedicata/","Laptop Alienware Gaming 15.6'' m15 R2, FHD, Procesor Intel® Core™ i7-9750H (12M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2070 8GB, Win 10 Pro, Dark Side of the Moon, 3Yr BOS","https://www.pcgarage.ro/notebook-laptop/alienware/gaming-156-m15-r2-fhd-procesor-intel-core-i7-9750h-12m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2070-8gb-win-10-pro-dark-side-of-the-moon-3yr-bos/","https://5.grgs.ro/images/products/1/6769/2107926/thumbnails/gaming-156-m15-r2-fhd-procesor-intel-core-i7-9750h-12m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2070-8gb-win-10-pro-dark-side-of-the-moon-3-634ec7c0673ebdff6e3cfed092dc5166.jpg, https://1.grgs.ro/images/products/1/6769/2107926/normal/gaming-156-m15-r2-fhd-procesor-intel-core-i7-9750h-12m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2070-8gb-win-10-pro-dark-side-of-the-moon-3-634ec7c0673ebdff6e3cfed092dc5166.jpg 2x"
"1613204881-1636","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6'' ProBook 450 G7, FHD, Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce MX250 2GB, Win 10 Pro, Silver","4.898,99 RON","Nu este in stoc","13","https://www.pcgarage.ro/notebook-laptop/pagina13/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6'' ProBook 450 G7, FHD, Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce MX250 2GB, Win 10 Pro, Silver","https://www.pcgarage.ro/notebook-laptop/hp/156-probook-450-g7-fhd-procesor-intel-core-i5-10210u-6m-cache-up-to-420-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-mx250-2gb-win-10-pro-silver/","https://3.grgs.ro/images/products/1/9943/2023474/thumbnails/mwl_i5_10-b68cbc7438ddc272f48d447fa4ef4d43.jpg, https://5.grgs.ro/images/products/1/9943/2023474/normal/mwl_i5_10-b68cbc7438ddc272f48d447fa4ef4d43.jpg 2x"
"1613205148-4324","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-dk1018nq, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1660 Ti 6GB, Free DOS, Black","4.698,99 RON","Stoc magazin suficient","5","https://www.pcgarage.ro/notebook-laptop/pagina5/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-dk1018nq, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1660 Ti 6GB, Free DOS, Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-pavilion-15-dk1018nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1660-ti-6gb-free-dos-black/","https://1.grgs.ro/images/products/1/6835/2137166/thumbnails/gaming-156-pavilion-15-dk1025nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-1tb-7200-rpm-plus-512gb-ssd-geforce-gtx-1660-ti-975e9f8c570b2e8cc69701f5845f4d23.jpg, https://3.grgs.ro/images/products/1/6835/2137166/normal/gaming-156-pavilion-15-dk1025nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-1tb-7200-rpm-plus-512gb-ssd-geforce-gtx-1660-ti-975e9f8c570b2e8cc69701f5845f4d23.jpg 2x"
"1613205097-4061","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop DELL 15.6'' Precision 5520 (seria 5000), FHD IPS, Procesor Intel® Core™ i7-7820HQ (8M Cache, up to 3.90 GHz), 32GB DDR4, 500GB 7200 RPM + 256GB SSD, Quadro M1200 4GB, Win 10 Pro, 3Yr NBD","14.999,00 RON","Nu este in stoc","‹","https://www.pcgarage.ro/notebook-laptop/pagina22/filtre/placa-video-placa-video-dedicata/","Laptop DELL 15.6'' Precision 5520 (seria 5000), FHD IPS, Procesor Intel® Core™ i7-7820HQ (8M Cache, up to 3.90 GHz), 32GB DDR4, 500GB 7200 RPM + 256GB SSD, Quadro M1200 4GB, Win 10 Pro, 3Yr NBD","https://www.pcgarage.ro/notebook-laptop/dell/156-precision-5520-seria-5000-fhd-ips-procesor-intel-core-i7-7820hq-8m-cache-up-to-390-ghz-32gb-ddr4-500gb-7200-rpm-plus-256gb-ssd-quadro-m1200-4gb-win-10-pro-3yr-nbd/","https://4.grgs.ro/images/products/1/1469686/1713268/thumbnails/mwl_i7_7-50442bdc8fef9bf40022eb13ea9fbd40.jpg, https://3.grgs.ro/images/products/1/1469686/1713268/normal/mwl_i7_7-50442bdc8fef9bf40022eb13ea9fbd40.jpg 2x"
"1613205007-3196","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 17.3'' VivoBook 17 M712DK, FHD, Procesor AMD Ryzen™ 3 3200U (4M Cache, up to 3.50 GHz), 8GB DDR4, 256GB SSD, Radeon R540X 2GB, FreeDos, Transparent Silver","2.511,94 RON","Nu este in stoc","15","https://www.pcgarage.ro/notebook-laptop/pagina15/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 17.3'' VivoBook 17 M712DK, FHD, Procesor AMD Ryzen™ 3 3200U (4M Cache, up to 3.50 GHz), 8GB DDR4, 256GB SSD, Radeon R540X 2GB, FreeDos, Transparent Silver","https://www.pcgarage.ro/notebook-laptop/asus/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-3-3200u-4m-cache-up-to-350-ghz-8gb-ddr4-256gb-ssd-radeon-r540x-2gb-freedos-transparent-silver/","https://1.grgs.ro/images/products/1/1990682/1991314/thumbnails/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-3-3200u-4m-cache-up-to-350-ghz-8gb-ddr4-256gb-ssd-radeon-r540x-2gb-freedos-transparent-silver-55c40d763cb4713bfeb0c14c27703d81.jpg, https://5.grgs.ro/images/products/1/1990682/1991314/normal/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-3-3200u-4m-cache-up-to-350-ghz-8gb-ddr4-256gb-ssd-radeon-r540x-2gb-freedos-transparent-silver-55c40d763cb4713bfeb0c14c27703d81.jpg 2x"
"1613204845-1186","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LU, FHD 144Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce GTX 1660 Ti 6GB, No OS, Fortress Gray","5.349,14 RON","Nu este in stoc","18","https://www.pcgarage.ro/notebook-laptop/pagina18/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LU, FHD 144Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce GTX 1660 Ti 6GB, No OS, Fortress Gray","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-asus-tuf-f15-fx506lu-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1660-ti-6gb-no-os-fortress-gray/","https://1.grgs.ro/images/products/1/1323/2123078/thumbnails/gaming-156-asus-tuf-f15-fx506lu-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1660-ti-6gb-no-f79cabeaa95fa3e69766fb71b6d26b49.jpg, https://4.grgs.ro/images/products/1/1323/2123078/normal/gaming-156-asus-tuf-f15-fx506lu-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1660-ti-6gb-no-f79cabeaa95fa3e69766fb71b6d26b49.jpg 2x"
"1613205148-4310","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' OMEN 17-cb1019nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2080 SUPER 8GB, Free DOS, Shadow Black, 4-Zone RGB","9.498,99 RON","Stoc magazin suficient","5","https://www.pcgarage.ro/notebook-laptop/pagina5/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' OMEN 17-cb1019nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2080 SUPER 8GB, Free DOS, Shadow Black, 4-Zone RGB","https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-cb1019nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2080-super-8gb-free-dos-shadow-black-4-zone-rgb/","https://3.grgs.ro/images/products/1/4917/2065398/thumbnails/gaming-173-omen-17-cb1016nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2070-super-8gb-free-dos--fa6c604d10e6e2e9aa05963578d385ca.jpg, https://3.grgs.ro/images/products/1/4917/2065398/normal/gaming-173-omen-17-cb1016nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2070-super-8gb-free-dos--fa6c604d10e6e2e9aa05963578d385ca.jpg 2x"
"1613205025-3332","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Apple 16'' MacBook Pro 16 Retina with Touch Bar, Coffee Lake 6-core i7 2.6GHz, 32GB DDR4, 512GB SSD, Radeon Pro 5300M 4GB, Mac OS Catalina, Space Grey, INT keyboard","14.998,99 RON","Nu este in stoc","14","https://www.pcgarage.ro/notebook-laptop/pagina14/filtre/placa-video-placa-video-dedicata/","Laptop Apple 16'' MacBook Pro 16 Retina with Touch Bar, Coffee Lake 6-core i7 2.6GHz, 32GB DDR4, 512GB SSD, Radeon Pro 5300M 4GB, Mac OS Catalina, Space Grey, INT keyboard","https://www.pcgarage.ro/notebook-laptop/apple/16-macbook-pro-16-retina-with-touch-bar-coffee-lake-6-core-i7-26ghz-32gb-ddr4-512gb-ssd-radeon-pro-5300m-4gb-mac-os-catalina-space-grey-int-keyboard/","https://2.grgs.ro/images/products/1/8486/2122526/thumbnails/mwl_i7_9-8ee256a90525d188489404b259a1720e.jpg, https://1.grgs.ro/images/products/1/8486/2122526/normal/mwl_i7_9-8ee256a90525d188489404b259a1720e.jpg 2x"
"1613204862-1368","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6"" 15-bs019nq, HD, Procesor Intel® Core™ i5-7200U (3M Cache, up to 3.10 GHz), 4GB DDR4, 1TB HDD, Radeon 520 2GB, FreeDos","2.698,92 RON","Nu este in stoc","16","https://www.pcgarage.ro/notebook-laptop/pagina16/filtre/placa-video-placa-video-dedicata/","Laptop HP 15.6"" 15-bs019nq, HD, Procesor Intel® Core™ i5-7200U (3M Cache, up to 3.10 GHz), 4GB DDR4, 1TB HDD, Radeon 520 2GB, FreeDos","https://www.pcgarage.ro/notebook-laptop/hp/156-quot-15-bs019nq-hd-procesor-intel-core-i5-7200u-3m-cache-up-to-310-ghz-4gb-ddr4-1tb-hdd-radeon-520-2gb-freedos/","https://5.grgs.ro/images/products/1/1605610/1597806/thumbnails/mwl_i5_7-3ee3b1986fc76d3433005535276c111b.jpg, https://3.grgs.ro/images/products/1/1605610/1597806/normal/mwl_i5_7-3ee3b1986fc76d3433005535276c111b.jpg 2x"
"1613205007-3194","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Zephyrus S17 GX701LV, FHD 300Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Win 10 Home, Black","12.699,99 RON","Nu este in stoc","15","https://www.pcgarage.ro/notebook-laptop/pagina15/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Zephyrus S17 GX701LV, FHD 300Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Win 10 Home, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-rog-zephyrus-s17-gx701lv-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-10-home-black/","https://5.grgs.ro/images/products/1/2045418/2068794/thumbnails/gaming-173-rog-zephyrus-s17-gx701lxs-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--0651f592581eb33c198e508ca95bc787.jpg, https://5.grgs.ro/images/products/1/2045418/2068794/normal/gaming-173-rog-zephyrus-s17-gx701lxs-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--0651f592581eb33c198e508ca95bc787.jpg 2x"
