web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,image-src,link,link-href
"1613204805-722","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Dell Inspiron 5501, Intel® Core™ i5-1035G1, 8GB DDR4, SSD","4.599,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144536_1.jpg","","https://www.flanco.ro/laptop-ultraportabil-dell-inspiron-5501-intel-core-i5-1035g1-8gb-ddr4-ssd-512gb-nvidia-geforce-mx330-2gb-windows-10-home.html"
"1613204771-213","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF A15 FA506II-BQ257, AMD Ryzen™ 7 4800H, 8GB DDR4, SSD 256GB, N","4.399,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142220-1_2.jpg","","https://www.flanco.ro/laptop-gaming-asus-tuf-a15-fa506ii-bq257-amd-ryzen-7-4800h-8gb-ddr4-ssd-256gb-nvidia-geforce-gtx-1650-ti-4gb-free-dos.html"
"1613204805-718","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Acer Nitro 5 AN515-44, AMD Ryzen™ 5 4600H, 8GB DDR4, SSD 512GB, NVIDIA","4.299,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144062-1.jpg","","https://www.flanco.ro/laptop-gaming-acer-nitro-5-an515-44-amd-ryzen-5-4600h-8gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1650ti-4gb-free-dos.html"
"1613204756-159","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i7-10610U, 8GB DDR4, SSD 256GB, Intel&#","4.999,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143492-1.jpeg","","https://www.flanco.ro/laptop-dell-latitude-5410-intel-core-i7-10610u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-linux.html"
"1613204788-494","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Dell Alienware m17 R3, Intel® Core™ i7-10750H, 16GB DDR4, SSD 1TB","12.999,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/141934-1_1.jpg","","https://www.flanco.ro/laptop-gaming-dell-alienware-m17-r3-intel-core-i7-10750h-16gb-ddr4-ssd-1tb-nvidia-geforce-gtx-1660-ti-6gb-windows-10-pro.html"
"1613204788-506","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad L14 (Gen 1),Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB","3.999,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142557-1_1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-l14-gen-1-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204805-737","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Asus E210MA-GJ003TS, Intel® Celeron® N4020, 4GB DDR4, eMMC","1.449,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144662-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-asus-e210ma-gj003ts-intel-celeron-n4020-4gb-ddr4-emmc-64gb-intel-uhd-graphics-windows-10-home-s.html"
"1613204805-706","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 13 OLED UM325UA-KG020T, AMD Ryzen™ 5 5500U, 8GB LPDDR4X, SSD 512","5.499,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145169-1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-13-oled-um325ua-kg020t-amd-ryzen-5-5500u-8gb-lpddr4x-ssd-512gb-amd-radeon-graphics-windows-10-home.html"
"1613204805-712","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 14IIL05, Intel® Core™ i5-1035G1, 8GB DDR4, SSD 256GB, I","3.099,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143950-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-3-14iil05-intel-core-i5-1035g1-8gb-ddr4-ssd-256gb-intel-uhd-graphics-free-dos-abyss-blue.html"
"1613204805-713","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop 2 in 1 HP Envy x360 Convert 13-ay0000nn, AMD Ryzen™ 3 4300U, 8GB DDR4, SSD 25","3.999,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144266-1.jpg","","https://www.flanco.ro/laptop-2-in-1-hp-envy-x360-convert-13-ay0000nn-amd-ryzen-3-4300u-8gb-ddr4-ssd-256gb-amd-radeon-graphics-windows-10-home.html"
"1613204805-733","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 14 UX482EA-HY026R, Intel® Core™ i5-1035G7, 8GB DDR4, SSD 1T","7.299,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145261-1_1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-14-ux482ea-hy026r-intel-core-i5-1035g7-8gb-ddr4-ssd-1tb-intel-iris-xe-graphics-windows-10-pro.html"
"1613204805-708","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer Swift SF314-57-54U7, Intel® Core™ i5-1035G1, 16GB DDR4, SSD 256GB,","3.649,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144934-1.jpg","","https://www.flanco.ro/laptop-acer-swift-sf314-57-54u7-intel-core-i5-1035g1-16gb-ddr4-ssd-256gb-intel-uhd-graphics-free-dos.html"
"1613204788-486","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop 2-in-1 Dell Latitude 5310, Intel® Core™ i5-10310U, 16GB DDR4, SSD 512GB,","6.319,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143640-1.jpg","","https://www.flanco.ro/laptop-2-in-1-dell-latitude-5310-intel-core-i5-10310u-16gb-ddr4-ssd-512gb-intel-uhd-graphics-windows-10-pro.html"
"1613204805-724","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad E15, Intel® Core™ i5-10210U, 8GB DDR4, HDD 1TB, AMD Rade","3.599,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142853-1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-e15-intel-core-i5-10210u-8gb-ddr4-hdd-1tb-amd-radeon-rx-640-2gb-free-dos.html"
"1613204771-215","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming HP Pavilion 15-ec0053nq, AMD Ryzen™ 5 3550H, 16GB DDR4, HDD 1TB + SSD","4.299,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144679-1.jpg","","https://www.flanco.ro/laptop-gaming-hp-pavilion-15-ec0053nq-amd-ryzen-5-3550h-16gb-ddr4-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos.html"
"1613204756-154","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15-dy1051wm, Intel® Core™ i5-1035G1, 8GB DDR4, SSD 256GB + 16GB Optan","3.499,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144150-1.jpg","","https://www.flanco.ro/laptop-hp-15-dy1051wm-intel-core-i5-1035g1-8gb-ddr4-ssd-256gb-16gb-optane-intel-uhd-graphics-windows-10-home.html"
"1613204805-732","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus VivoBook 15 M513IA-EJ057T, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AMD","3.299,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144702-1.jpg","","https://www.flanco.ro/laptop-asus-vivobook-15-m513ia-ej057t-amd-ryzen-5-4500u-8gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-home.html"
"1613204788-500","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Strix SCAR 15 G532LV-AZ041, Intel® Core™ i7-10875H, 16GB","8.306,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143646-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-strix-scar-15-g532lv-az041-intel-core-i7-10875h-16gb-ddr4-ssd-1tb-nvidia-geforce-rtx-2060-6gb-free-dos.html"
"1613204788-501","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP EliteBook 845 G7, AMD Ryzen™ 7 4750U PRO, 16GB DDR4, SSD 512GB, AMD Radeon","5.479,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145017-1.jpg","","https://www.flanco.ro/laptop-hp-elitebook-845-g7-amd-ryzen-7-4750u-pro-16gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-pro.html"
"1613204805-711","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 14 UX425EA-BM013T, Intel® Core™ i5-1135G7, 8GB LPDDR4X, SSD","5.999,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145208-1_1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-14-ux425ea-bm013t-intel-core-i5-1135g7-8gb-lpddr4x-ssd-512gb-intel-iris-xe-graphics-windows-10-home.html"
"1613204788-508","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad T14s Gen 1 (AMD), AMD Ryzen™ 5 PRO 4650U, 8GB DDR4, SSD","6.299,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143637-1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-t14s-gen-1-amd-amd-ryzen-5-pro-4650u-8gb-ddr4-ssd-256gb-amd-radeon-graphics-windows-10-pro.html"
"1613204756-128","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 14s-fq0027nq, AMD 3020e, 4GB DDR4, SSD 128GB, AMD Radeon™ Graphics, Window","1.799,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144686-1.jpg","","https://www.flanco.ro/laptop-hp-14s-fq0027nq-amd-3020e-4gb-ddr4-ssd-128gb-amd-radeon-graphics-windows-10-home-s.html"
"1613204788-504","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i7, 16GB DDR4, SSD 512GB, A","12.199,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/3/138490-1.jpg","","https://www.flanco.ro/laptop-apple-macbook-pro-16-touch-bar-intel-core-i7-16gb-ddr4-ssd-512gb-amd-radeon-pro-5300m-4gb-macos-catalina-space-gray-int-kb.html"
